SR_NO,VOLTAGE,CURRENT,POWER,MODULE_TEMP,AMBIENT_TEMP,IR
434,19.82,-0.01,-0.16,523,418,1012
435,19.8,0.01,0.23,521,417,1013
436,19.82,0.02,0.43,521,418,1013
437,19.82,0.02,0.43,520,418,1011
438,19.82,0.02,0.43,521,417,1012
439,19.8,0.04,0.82,521,417,1012
440,19.82,0.03,0.63,521,417,1013
441,19.8,0.03,0.63,522,417,1013
442,19.82,0.05,1.02,520,417,1012
443,19.82,0.04,0.82,521,417,1012
444,19.82,0.03,0.63,522,417,1013
445,19.82,0.05,1.02,521,417,1012
446,19.8,0.01,0.23,520,417,1012
447,19.78,0.06,1.21,521,417,1013
448,19.8,0.01,0.23,522,417,1011
449,19.78,0.02,0.43,523,417,1012
450,19.8,0.01,0.23,522,417,1013
451,19.8,0,0.04,522,417,1011
452,19.82,0.04,0.82,523,417,1012
453,19.8,0.02,0.43,523,417,1011
454,19.8,0.02,0.43,522,418,1012
455,19.8,0.07,1.41,522,418,1012
456,19.78,0.04,0.82,523,418,1012
457,19.8,0.05,1.02,522,418,1013
458,19.78,0.04,0.82,522,418,1012
459,19.78,0.06,1.21,523,418,1012
460,19.78,0.01,0.23,523,418,1013
461,19.78,-0.02,-0.35,523,418,1012
462,19.78,0.01,0.23,523,419,1012
463,19.8,0.07,1.41,523,419,1013
464,19.8,0.02,0.43,524,418,1012
465,19.8,0,0.04,524,418,1011
466,19.8,0.05,1.02,522,419,1012
467,19.8,0.02,0.43,525,419,1013
468,19.8,0.05,1.02,522,418,1013
469,19.82,0.06,1.22,523,418,1012
470,19.8,0.05,1.02,524,419,1012
471,19.8,0.03,0.63,523,418,1013
472,19.78,0.04,0.82,523,418,1012
473,19.8,0.04,0.82,523,417,1012
474,19.8,0.02,0.43,523,417,1011
475,19.8,0,0.04,521,417,1012
476,19.82,0.03,0.63,525,417,1013
477,19.8,0.01,0.23,524,417,1012
478,19.8,0.07,1.41,524,417,1011
479,19.78,0.02,0.43,523,417,1013
480,19.78,0.03,0.63,524,417,1012
481,19.78,0.03,0.63,524,416,1011
482,19.78,0.05,1.02,523,417,1013
483,19.78,0,0.04,523,416,1013
484,19.75,0.05,1.02,523,416,1012
485,19.8,0.03,0.63,524,416,1012
486,19.75,0.05,1.02,524,416,1012
487,19.75,0,0.04,524,416,1012
488,19.78,0.02,0.43,523,416,1011
489,19.8,0.03,0.63,525,416,1012
490,19.8,0,0.04,524,416,1012
491,19.78,0.01,0.23,525,417,1012
492,19.78,0.01,0.23,525,416,1012
493,19.78,0.05,1.02,524,416,1012
494,19.78,0.01,0.23,525,416,1013
495,19.78,0.04,0.82,525,417,1011
496,19.78,-0.01,-0.16,525,416,1012
497,19.75,0.03,0.62,524,417,1011
498,19.75,0.03,0.62,523,417,1013
